MSA,YEAR,MONTH,TOTAL_PASSENGERS
Atlanta,2019,1,3884581
Atlanta,2019,2,3726257
Atlanta,2019,3,4721367
Atlanta,2019,4,4481996
Atlanta,2019,5,4863825
Atlanta,2019,6,4851913
Atlanta,2019,7,4927206
Atlanta,2019,8,4822939
Atlanta,2019,9,4247320
Atlanta,2019,10,4623704
Atlanta,2019,11,4227554
Atlanta,2019,12,4465188
Atlanta,2020,1,4027748
Atlanta,2020,2,3866638
Atlanta,2020,3,2170830
Atlanta,2020,4,189622
Atlanta,2020,5,449548
Atlanta,2020,6,753435
Atlanta,2020,7,1206484
Atlanta,2020,8,1436567
Atlanta,2020,9,1510161
Atlanta,2020,10,1716715
Atlanta,2020,11,1672836
Atlanta,2020,12,1773522
Atlanta,2021,1,1597860
Atlanta,2021,2,1548731
Atlanta,2021,3,2238690
Atlanta,2021,4,2391432
Atlanta,2021,5,3354829
Atlanta,2021,6,3654297
Atlanta,2021,7,3950582
Atlanta,2021,8,3692029
Atlanta,2021,9,3443714
Atlanta,2021,10,3713571
Atlanta,2021,11,3679344
Atlanta,2021,12,3578759
Atlanta,2022,1,2891156
Atlanta,2022,2,3014485
Atlanta,2022,3,3850533
Atlanta,2022,4,3806289
Atlanta,2022,5,4128142
Atlanta,2022,6,4017106
Atlanta,2022,7,4061121
Atlanta,2022,8,3992873
Atlanta,2022,9,3893202
Atlanta,2022,10,4064247
Atlanta,2022,11,3937342
Atlanta,2022,12,3912480
Atlanta,2023,1,3615741
Atlanta,2023,2,3455440
Atlanta,2023,3,4225105
Atlanta,2023,4,4162542
Atlanta,2023,5,4607453
Atlanta,2023,6,4622772
Atlanta,2023,7,4702979
Atlanta,2023,8,4387076
Atlanta,2023,9,4338365
Atlanta,2023,10,4504726
Atlanta,2023,11,4248122
Atlanta,2023,12,4281518
Atlanta,2024,1,3719438
Atlanta,2024,2,3701699
Atlanta,2024,3,4445499
Atlanta,2024,4,4367858
Atlanta,2024,5,4883620
Atlanta,2024,6,4826762
Atlanta,2024,7,4496722
Atlanta,2024,8,4638294
Atlanta,2024,9,4271545
Atlanta,2024,10,4551135
Atlanta,2024,11,4229240
Atlanta,2024,12,4461078
Atlanta,2025,1,3632689
Atlanta,2025,2,3633515
Atlanta,2025,3,4373879
Atlanta,2025,4,4275514
Atlanta,2025,5,4737580
Atlanta,2025,6,4665683
Atlanta,2025,7,4778595
Atlanta,2025,8,4501974
Atlanta,2025,9,4214890
Atlanta,2025,10,4515220
Atlanta,2025,11,3924005
Atlanta,2025,12,4229780
Chicago,2019,1,3247079
Chicago,2019,2,3237476
Chicago,2019,3,4342549
Chicago,2019,4,4106587
Chicago,2019,5,4645654
Chicago,2019,6,4852423
Chicago,2019,7,4894941
Chicago,2019,8,4775487
Chicago,2019,9,4266888
Chicago,2019,10,4598902
Chicago,2019,11,3996114
Chicago,2019,12,4297307
Chicago,2020,1,3442992
Chicago,2020,2,3316844
Chicago,2020,3,1913992
Chicago,2020,4,168706
Chicago,2020,5,596886
Chicago,2020,6,930685
Chicago,2020,7,1331573
Chicago,2020,8,1408063
Chicago,2020,9,1442651
Chicago,2020,10,1610788
Chicago,2020,11,1379814
Chicago,2020,12,1549029
Chicago,2021,1,1245797
Chicago,2021,2,1274667
Chicago,2021,3,2075532
Chicago,2021,4,2228935
Chicago,2021,5,2803798
Chicago,2021,6,3408050
Chicago,2021,7,3976894
Chicago,2021,8,3714387
Chicago,2021,9,3351505
Chicago,2021,10,3617981
Chicago,2021,11,3258986
Chicago,2021,12,3311958
Chicago,2022,1,2283802
Chicago,2022,2,2427449
Chicago,2022,3,3509398
Chicago,2022,4,3385249
Chicago,2022,5,3820486
Chicago,2022,6,4184175
Chicago,2022,7,4263600
Chicago,2022,8,4099402
Chicago,2022,9,3915116
Chicago,2022,10,4048737
Chicago,2022,11,3616557
Chicago,2022,12,3572908
Chicago,2023,1,3083761
Chicago,2023,2,3008278
Chicago,2023,3,3878735
Chicago,2023,4,3717213
Chicago,2023,5,4210471
Chicago,2023,6,4348955
Chicago,2023,7,4442944
Chicago,2023,8,4355683
Chicago,2023,9,4098449
Chicago,2023,10,4247753
Chicago,2023,11,3680896
Chicago,2023,12,3758371
Chicago,2024,1,3003583
Chicago,2024,2,3162643
Chicago,2024,3,4000629
Chicago,2024,4,3928545
Chicago,2024,5,4474236
Chicago,2024,6,4676957
Chicago,2024,7,4782503
Chicago,2024,8,4648091
Chicago,2024,9,4324736
Chicago,2024,10,4380708
Chicago,2024,11,3780334
Chicago,2024,12,4026730
Chicago,2025,1,3184986
Chicago,2025,2,3001403
Chicago,2025,3,3998887
Chicago,2025,4,3874004
Chicago,2025,5,4496195
Chicago,2025,6,4936616
Chicago,2025,7,4988876
Chicago,2025,8,4770805
Chicago,2025,9,4475008
Chicago,2025,10,4695976
Chicago,2025,11,3764788
Chicago,2025,12,4059951
Dallas-Fort Worth,2019,1,3234693
Dallas-Fort Worth,2019,2,3046028
Dallas-Fort Worth,2019,3,3659494
Dallas-Fort Worth,2019,4,3445235
Dallas-Fort Worth,2019,5,3911024
Dallas-Fort Worth,2019,6,4053788
Dallas-Fort Worth,2019,7,4173075
Dallas-Fort Worth,2019,8,3942934
Dallas-Fort Worth,2019,9,3592186
Dallas-Fort Worth,2019,10,3774705
Dallas-Fort Worth,2019,11,3565816
Dallas-Fort Worth,2019,12,3851568
Dallas-Fort Worth,2020,1,3377205
Dallas-Fort Worth,2020,2,3247697
Dallas-Fort Worth,2020,3,1886020
Dallas-Fort Worth,2020,4,233500
Dallas-Fort Worth,2020,5,864210
Dallas-Fort Worth,2020,6,1320712
Dallas-Fort Worth,2020,7,1820698
Dallas-Fort Worth,2020,8,1809227
Dallas-Fort Worth,2020,9,1896767
Dallas-Fort Worth,2020,10,2132734
Dallas-Fort Worth,2020,11,1909032
Dallas-Fort Worth,2020,12,2045579
Dallas-Fort Worth,2021,1,1708205
Dallas-Fort Worth,2021,2,1436284
Dallas-Fort Worth,2021,3,2621217
Dallas-Fort Worth,2021,4,2767779
Dallas-Fort Worth,2021,5,3263117
Dallas-Fort Worth,2021,6,3761258
Dallas-Fort Worth,2021,7,4044846
Dallas-Fort Worth,2021,8,3341469
Dallas-Fort Worth,2021,9,3175771
Dallas-Fort Worth,2021,10,3546664
Dallas-Fort Worth,2021,11,3494437
Dallas-Fort Worth,2021,12,3571570
Dallas-Fort Worth,2022,1,2787638
Dallas-Fort Worth,2022,2,2554633
Dallas-Fort Worth,2022,3,3578698
Dallas-Fort Worth,2022,4,3607364
Dallas-Fort Worth,2022,5,3966925
Dallas-Fort Worth,2022,6,4057004
Dallas-Fort Worth,2022,7,4063549
Dallas-Fort Worth,2022,8,3738948
Dallas-Fort Worth,2022,9,3733822
Dallas-Fort Worth,2022,10,3950626
Dallas-Fort Worth,2022,11,3650197
Dallas-Fort Worth,2022,12,3713071
Dallas-Fort Worth,2023,1,3332715
Dallas-Fort Worth,2023,2,3242622
Dallas-Fort Worth,2023,3,3906412
Dallas-Fort Worth,2023,4,3806736
Dallas-Fort Worth,2023,5,4223154
Dallas-Fort Worth,2023,6,4469571
Dallas-Fort Worth,2023,7,4531940
Dallas-Fort Worth,2023,8,4152195
Dallas-Fort Worth,2023,9,3949887
Dallas-Fort Worth,2023,10,4275849
Dallas-Fort Worth,2023,11,4045330
Dallas-Fort Worth,2023,12,4112245
Dallas-Fort Worth,2024,1,3641226
Dallas-Fort Worth,2024,2,3682056
Dallas-Fort Worth,2024,3,4290797
Dallas-Fort Worth,2024,4,4090301
Dallas-Fort Worth,2024,5,4495928
Dallas-Fort Worth,2024,6,4759999
Dallas-Fort Worth,2024,7,4875703
Dallas-Fort Worth,2024,8,4388743
Dallas-Fort Worth,2024,9,4060816
Dallas-Fort Worth,2024,10,4460645
Dallas-Fort Worth,2024,11,4078152
Dallas-Fort Worth,2024,12,4342536
Dallas-Fort Worth,2025,1,3622249
Dallas-Fort Worth,2025,2,3456110
Dallas-Fort Worth,2025,3,4233883
Dallas-Fort Worth,2025,4,3899638
Dallas-Fort Worth,2025,5,4411106
Dallas-Fort Worth,2025,6,4607468
Dallas-Fort Worth,2025,7,4722992
Dallas-Fort Worth,2025,8,4196473
Dallas-Fort Worth,2025,9,3923362
Dallas-Fort Worth,2025,10,4346737
Dallas-Fort Worth,2025,11,3851772
Dallas-Fort Worth,2025,12,4264595
Houston,2019,1,2239149
Houston,2019,2,2066019
Houston,2019,3,2544908
Houston,2019,4,2396781
Houston,2019,5,2585586
Houston,2019,6,2686169
Houston,2019,7,2734086
Houston,2019,8,2459296
Houston,2019,9,2105506
Houston,2019,10,2465576
Houston,2019,11,2351066
Houston,2019,12,2635882
Houston,2020,1,2299211
Houston,2020,2,2116042
Houston,2020,3,1236583
Houston,2020,4,98769
Houston,2020,5,305512
Houston,2020,6,474551
Houston,2020,7,664234
Houston,2020,8,736830
Houston,2020,9,815292
Houston,2020,10,998164
Houston,2020,11,1035594
Houston,2020,12,1191814
Houston,2021,1,961521
Houston,2021,2,819706
Houston,2021,3,1488956
Houston,2021,4,1655815
Houston,2021,5,1911529
Houston,2021,6,2212724
Houston,2021,7,2464442
Houston,2021,8,2107759
Houston,2021,9,1878294
Houston,2021,10,2149019
Houston,2021,11,2178929
Houston,2021,12,2217354
Houston,2022,1,1680301
Houston,2022,2,1746989
Houston,2022,3,2182555
Houston,2022,4,2177497
Houston,2022,5,2383194
Houston,2022,6,2390354
Houston,2022,7,2450357
Houston,2022,8,2222311
Houston,2022,9,2207317
Houston,2022,10,2430917
Houston,2022,11,2334132
Houston,2022,12,2370121
Houston,2023,1,2180915
Houston,2023,2,2068962
Houston,2023,3,2456513
Houston,2023,4,2381830
Houston,2023,5,2551492
Houston,2023,6,2628775
Houston,2023,7,2723270
Houston,2023,8,2436703
Houston,2023,9,2339449
Houston,2023,10,2542543
Houston,2023,11,2455252
Houston,2023,12,2539639
Houston,2024,1,2230033
Houston,2024,2,2190990
Houston,2024,3,2592744
Houston,2024,4,2513342
Houston,2024,5,2745101
Houston,2024,6,2903636
Houston,2024,7,2762720
Houston,2024,8,2571472
Houston,2024,9,2321656
Houston,2024,10,2584188
Houston,2024,11,2491926
Houston,2024,12,2716878
Houston,2025,1,2225395
Houston,2025,2,2072660
Houston,2025,3,2549887
Houston,2025,4,2395660
Houston,2025,5,2680789
Houston,2025,6,2823076
Houston,2025,7,2862465
Houston,2025,8,2527579
Houston,2025,9,2313068
Houston,2025,10,2602506
Houston,2025,11,2401796
Houston,2025,12,2680152
Los Angeles,2019,1,4213369
Los Angeles,2019,2,3862997
Los Angeles,2019,3,4717987
Los Angeles,2019,4,4573031
Los Angeles,2019,5,4876527
Los Angeles,2019,6,5157998
Los Angeles,2019,7,5252487
Los Angeles,2019,8,5123587
Los Angeles,2019,9,4493119
Los Angeles,2019,10,4629327
Los Angeles,2019,11,4418751
Los Angeles,2019,12,4789574
Los Angeles,2020,1,4244933
Los Angeles,2020,2,3776952
Los Angeles,2020,3,2065520
Los Angeles,2020,4,201896
Los Angeles,2020,5,488026
Los Angeles,2020,6,740170
Los Angeles,2020,7,1041403
Los Angeles,2020,8,1144454
Los Angeles,2020,9,1180787
Los Angeles,2020,10,1364326
Los Angeles,2020,11,1319953
Los Angeles,2020,12,1269085
Los Angeles,2021,1,1019206
Los Angeles,2021,2,1043163
Los Angeles,2021,3,1758703
Los Angeles,2021,4,2091864
Los Angeles,2021,5,2702888
Los Angeles,2021,6,3360349
Los Angeles,2021,7,3789429
Los Angeles,2021,8,3454737
Los Angeles,2021,9,3071458
Los Angeles,2021,10,3427001
Los Angeles,2021,11,3494645
Los Angeles,2021,12,3648645
Los Angeles,2022,1,2663290
Los Angeles,2022,2,2829323
