Country,Region,LIFE_LADDER_2020,PASSENGERS_2019,PASSENGERS_2020,PASSENGERS_2023,PCT_CHANGE_2019_2020,PCT_CHANGE_2019_2023
Albania,Europe & Central Asia,5.365,307741.0,124714.0,374800.0,-59.4744,21.7907
Argentina,Americas,5.901,19461377.0,3680874.0,21057811.0,-81.0863,8.2031
Australia,East Asia & Pacific,7.137,76850596.719,23346254.0,68958577.0,-69.6212,-10.2693
Austria,Europe & Central Asia,7.213,46476602.0,13285414.0,46040215.0,-71.4148,-0.9389
Bahrain,Middle East & N. Africa,6.173,6440562.0,1451359.0,5734420.0,-77.4653,-10.964
Bangladesh,South Asia,5.28,6260241.0,2984121.694,6628497.0,-52.3322,5.8825
Belgium,Europe & Central Asia,6.839,14279187.0,3520849.848,11390665.419,-75.3428,-20.2289
Bolivia,Americas,5.559,4066959.0,2627202.201,5601302.305,-35.4013,37.727
Bosnia and Herzegovina,Europe & Central Asia,5.516,5375.0,1593.0,,-70.3628,
Brazil,Americas,6.11,102917546.0,45405756.0,95398485.0,-55.8814,-7.3059
Bulgaria,Europe & Central Asia,5.598,832828.0,443067.0,723825.0,-46.7997,-13.0883
Cambodia,East Asia & Pacific,4.377,1429503.7305,609564.382,675283.0,-57.3583,-52.761
Cameroon,Sub-Saharan Africa,5.241,83882.0,40884.0,331025.0,-51.2601,294.6317
Canada,Americas,7.025,93352000.0,27620000.0,88618000.0,-70.4131,-5.0711
Chile,Americas,6.151,21197759.0,8019753.0,21323388.0,-62.167,0.5927
China,East Asia & Pacific,5.771,659629070.0,417255845.0,619215886.0,-36.7439,-6.1267
Colombia,Americas,5.709,37031843.0,12273939.724,42399044.0,-66.8557,14.4935
Croatia,Europe & Central Asia,6.508,2108591.0,608458.0,1670012.0,-71.1439,-20.7996
Cyprus,Europe & Central Asia,6.26,395436.0,104559.0,724062.0,-73.5586,83.1047
Czech Republic,Europe & Central Asia,6.897,5446163.2,929888.181,2175763.454,-82.9258,-60.0496
Dominican Republic,Americas,5.168,113752.0,31391.0,996238.0,-72.404,
Ecuador,Americas,5.354,4827978.0,1146368.544,4567423.0,-76.2557,-5.3968
Egypt,Middle East & N. Africa,4.472,13206889.61,4638192.256,16672111.302,-64.8805,26.238
El Salvador,Americas,5.462,2609917.0,805271.999,3263923.0,-69.1457,25.0585
Ethiopia,Sub-Saharan Africa,4.549,12631216.0,4940183.0,15273254.0,-60.8891,20.9167
Finland,Europe & Central Asia,7.889,14610547.0,3500299.0,10794518.0,-76.0427,-26.1183
France,Europe & Central Asia,6.714,71289277.0,24956343.0,64644716.0,-64.9929,-9.3206
Georgia,Europe & Central Asia,5.123,509913.0,72906.0,320810.0,-85.7023,-37.0853
Germany,Europe & Central Asia,7.312,109633750.727,25758450.0,80199572.0,-76.505,-26.8477
Ghana,Sub-Saharan Africa,5.319,597343.0,321437.0,440680.0,-46.1889,-26.2266
Greece,Europe & Central Asia,5.788,16124738.33,5647917.0,19090513.0,-64.9736,18.3927
Hong Kong,East Asia & Pacific,5.295,46469864.0,5878548.0,25704485.0,-87.3498,-44.6857
Hungary,Europe & Central Asia,6.038,39803373.0,14597294.0,55613579.0,-63.3265,39.7208
Iceland,Europe & Central Asia,7.575,4656017.0,903927.0,4342330.8,-80.5858,-6.7372
India,South Asia,4.225,167499116.0,68959633.0,180415784.228,-58.8299,7.7115
Iran,Middle East & N. Africa,4.865,21641449.393,12744853.781,18067403.0,-41.1091,-16.5148
Iraq,Middle East & N. Africa,4.785,5434292.0,764661.0,3756178.0,-85.929,-30.8801
Ireland,Europe & Central Asia,7.035,170161848.0,54582262.0,192528432.0,-67.9233,13.1443
Israel,Middle East & N. Africa,7.195,7068458.0,1249361.0,7377778.0,-82.3248,4.3761
Italy,Europe & Central Asia,6.488,27760301.0,7801490.0,20264734.0,-71.897,-27.001
Cote d'Ivoire,Sub-Saharan Africa,5.257,748540.0,322841.0,716233.0,-56.8706,-4.316
Japan,East Asia & Pacific,6.118,130233352.0,51131122.0,120305972.0,-60.7388,-7.6228
Jordan,Middle East & N. Africa,4.094,3478444.0,816253.0,3731345.0,-76.534,7.2705
Kazakhstan,Europe & Central Asia,6.168,7656866.0,5282205.0,11884241.039,-31.0135,55.2103
Kenya,Sub-Saharan Africa,4.547,6417534.056,1865768.0,5138290.0,-70.927,-19.9336
Kyrgyzstan,Europe & Central Asia,6.25,867935.0,191774.0,804478.2,-77.9046,-7.3112
Laos,East Asia & Pacific,5.284,979307.0,386950.0,842280.306,-60.4874,-13.9922
Latvia,Europe & Central Asia,6.229,4976410.0,1323070.0,4475904.0,-73.4132,-10.0576
Lithuania,Europe & Central Asia,6.391,40944.0,35027.0,,-14.4514,
Malta,Europe & Central Asia,6.157,2382607.8,549318.545,2387400.4,-76.9447,0.2011
